,Ticker,Exchange,Industry,Supersector,Sector,Subsector,
Canadian Natural Resources Limited,CNQ,Toronto Stock Exchange,Energy,Energy,"Oil, Gas and Coal",Oil: Crude Producers,
Chevron Corporation,CVX,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
China Petroleum & Chemical Corp ADR,SNP,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
China Petroleum & Chemical Corporation Class H,00386,Hong Kong Exchanges And Clearing Ltd,Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
Coal India Ltd.,533278,BSE LTD,Energy,Energy,"Oil, Gas and Coal",Coal,
"Continental Resources, Inc.",CLR,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Oil: Crude Producers,
Cosan S.A.,CSAN3,"The B3 S.A. - Brasil, Bolsa, Balcão",Energy,Energy,"Oil, Gas and Coal",Oil Refining and Marketing,
"Energy Transfer, L.P.",ET,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Pipelines,
Exxon Mobil Corporation,XOM,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
GAIL (India) Limited,532155,BSE LTD,Energy,Energy,"Oil, Gas and Coal",Oil Refining and Marketing,
Hess Corporation,HES,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Offshore Drilling and Other Services,
Lamprell plc,LAM,London Stock Exchange,Energy,Energy,"Oil, Gas and Coal",Oil Equipment and Services,
"Natural Gas Services Group, Inc.",NGS,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Oil Equipment and Services,
NOV Inc,NOV,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Oil Equipment and Services,
Oil & Natural Gas Corp. Ltd.,500312,BSE LTD,Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
"ONEOK, Inc.",OKE,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Pipelines,
Petrobras Distribuidora SA,BRDT3,"The B3 S.A. - Brasil, Bolsa, Balcão",Energy,Energy,"Oil, Gas and Coal",Oil Refining and Marketing,
PetroChina Company Limited ADR,PTR,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
PetroChina Company Limited Class H,00857,Hong Kong Exchanges And Clearing Ltd,Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
Petroleo Brasileiro SA,PETR3,"The B3 S.A. - Brasil, Bolsa, Balcão",Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
Petroleo Brasileiro SA Pfd,PETR4,"The B3 S.A. - Brasil, Bolsa, Balcão",Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
Phillips 66,PSX,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Oil Refining and Marketing,
Reliance Industries Limited,500325,BSE LTD,Energy,Energy,"Oil, Gas and Coal",Oil Refining and Marketing,
Royal Dutch Shell Plc Class A,RDSA,London Stock Exchange,Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
Suncor Energy Inc.,SU,Toronto Stock Exchange,Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
Sunoco LP,SUN,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Oil Refining and Marketing,
Tullow Oil plc,TLW,London Stock Exchange,Energy,Energy,"Oil, Gas and Coal",Oil: Crude Producers,
Ultrapar Participacoes S.A.,UGPA3,"The B3 S.A. - Brasil, Bolsa, Balcão",Energy,Energy,"Oil, Gas and Coal",Oil Refining and Marketing,
Aflac Incorporated,AFL,"New York Stock Exchange, Inc.",Financials,Insurance,Life Insurance,Life Insurance,
Allstate Corporation,ALL,"New York Stock Exchange, Inc.",Financials,Insurance,Non-life Insurance,Property and Casualty Insurance,
"Artisan Partners Asset Management, Inc. Class A",APAM,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
Aviva plc,AV.,London Stock Exchange,Financials,Insurance,Life Insurance,Life Insurance,
Axis Bank Limited,532215,BSE LTD,Financials,Banks,Banks,Banks,
"B3 SA - Brasil, Bolsa, Balcao",B3SA3,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Financial Services,Investment Banking and Brokerage Services,Investment Services,
Bajaj Finserv Limited,532978,BSE LTD,Financials,Financial Services,Investment Banking and Brokerage Services,Diversified Financial Services,
Banco Bradesco S.A.,BBDC3,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Banks,Banks,Banks,
Banco Bradesco SA Pfd,BBDC4,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Banks,Banks,Banks,
Banco BTG Pactual SA Brazilian Units,BPAC11,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Financial Services,Investment Banking and Brokerage Services,Diversified Financial Services,
Banco do Brasil S.A.,BBAS3,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Banks,Banks,Banks,
Banco Santander Brasil SA Brazilian Units,SANB11,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Banks,Banks,Banks,
Bank of America,BAC,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
"Bank of Ningbo Co., Ltd. Class A",002142,Shenzhen Stock Exchange,Financials,Banks,Banks,Banks,
Bank of Nova Scotia,BNS,Toronto Stock Exchange,Financials,Banks,Banks,Banks,
Bank OZK,OZK,Nasdaq,Financials,Banks,Banks,Banks,
Barclays PLC,BCS,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
BB Seguridade Participacoes SA,BBSE3,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Insurance,Non-life Insurance,Full Line Insurance,
"BlackRock, Inc.",BLK,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
Blackstone Inc.,BX,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
"Boston Private Financial Holdings, Inc.",BPFH,Nasdaq,Financials,Banks,Banks,Banks,
Canadian Western Bank,CWB,Toronto Stock Exchange,Financials,Banks,Banks,Banks,
China Construction Bank Corporation Class H,00939,Hong Kong Exchanges And Clearing Ltd,Financials,Banks,Banks,Banks,
China Finance Online Co.,JRJC,Nasdaq,Financials,Financial Services,Investment Banking and Brokerage Services,Investment Services,
Citigroup Inc.,C,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
City of London Investment Group PLC,CLIG,London Stock Exchange,Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
Credit Suisse Group AG,CS,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Diversified Financial Services,
Deutsche Bank AG,DB,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
Discover Financial Services,DFS,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
Fairfax Financial Holdings Limited,FFH,Toronto Stock Exchange,Financials,Insurance,Non-life Insurance,Property and Casualty Insurance,
"Franklin Resources, Inc",BEN,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
"Glacier Bancorp, Inc.",GBCI,Nasdaq,Financials,Banks,Banks,Banks,
Goldman Sachs,GS,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Investment Services,
"Great Elm Group, Inc.",GEG,Nasdaq,Financials,Financial Services,Investment Banking and Brokerage Services,Diversified Financial Services,
Great-West Lifeco Inc.,GWO,Toronto Stock Exchange,Financials,Insurance,Life Insurance,Life Insurance,
HDFC Bank Limited,500180,BSE LTD,Financials,Banks,Banks,Banks,
Housing Development Finance Corporation Limited,500010,BSE LTD,Financials,Financial Services,Finance and Credit Services,Mortgage Finance,
HSBC Holdings Plc,HSBA,London Stock Exchange,Financials,Banks,Banks,Banks,
ICICI Bank Limited,532174,BSE LTD,Financials,Banks,Banks,Banks,
"Intercontinental Exchange, Inc.",ICE,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Investment Services,
IRB Brasil Resseguros SA,IRBR3,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Insurance,Non-life Insurance,Full Line Insurance,
Itau Unibanco Holding SA Pfd,ITUB4,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Banks,Banks,Banks,
Itausa - Investimentos Itau SA Pfd,ITSA4,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Financial Services,Investment Banking and Brokerage Services,Diversified Financial Services,
JPMorgan Chase & Co.,JPM,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
KeyCorp,KEY,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
KKR & Co. Inc.,KKR,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
Kotak Mahindra Bank Limited,500247,BSE LTD,Financials,Banks,Banks,Banks,
Lazard Ltd Class A,LAZ,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Investment Services,
Lloyds Banking Group plc,LLOY,London Stock Exchange,Financials,Banks,Banks,Banks,
Loews Corporation,L,"New York Stock Exchange, Inc.",Financials,Insurance,Non-life Insurance,Property and Casualty Insurance,
M&T Bank Corporation,MTB,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
Max Financial Services Limited,500271,BSE LTD,Financials,Insurance,Life Insurance,Life Insurance,
"MetLife, Inc.",MET,"New York Stock Exchange, Inc.",Financials,Insurance,Life Insurance,Life Insurance,
Moody's Corporation,MCO,"New York Stock Exchange, Inc.",Financials,Financial Services,Finance and Credit Services,Financial Data Providers,
Morgan Stanley,MS,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Investment Services,
NatWest Group Plc,NWG,London Stock Exchange,Financials,Banks,Banks,Banks,
Old National Bancorp,ONB,Nasdaq,Financials,Banks,Banks,Banks,
Oppenheimer Holdings Inc. Class A,OPY,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
"Ping An Insurance (Group) Company of China, Ltd. Class H",02318,Hong Kong Exchanges And Clearing Ltd,Financials,Insurance,Life Insurance,Life Insurance,
"PNC Financial Services Group, Inc.",PNC,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
Porto Seguro S.A.,PSSA3,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Insurance,Non-life Insurance,Full Line Insurance,
"Prudential Financial, Inc.",PRU,"New York Stock Exchange, Inc.",Financials,Insurance,Life Insurance,Life Insurance,
REC Limited,532955,BSE LTD,Financials,Financial Services,Investment Banking and Brokerage Services,Diversified Financial Services,
Regions Financial Corporation,RF,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
Royal Bank of Canada,RY,Toronto Stock Exchange,Financials,Banks,Banks,Banks,
Schroders PLC,SDR,London Stock Exchange,Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
SEI Investments Company,SEIC,Nasdaq,Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
Standard Chartered PLC,STAN,London Stock Exchange,Financials,Banks,Banks,Banks,
State Bank of India,500112,BSE LTD,Financials,Banks,Banks,Banks,
Sul America SA Brazilian Units,SULA11,"The B3 S.A. - Brasil, Bolsa, Balcão",Financials,Insurance,Non-life Insurance,Full Line Insurance,
"T. Rowe Price Group, Inc",TROW,Nasdaq,Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
UBS Group AG,UBS,"New York Stock Exchange, Inc.",Financials,Financial Services,Investment Banking and Brokerage Services,Asset Managers and Custodians,
Wells Fargo & Company,WFC,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
Westpac Banking Corp,WBK,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Banks,
Yes Bank Limited,532648,BSE LTD,Financials,Banks,Banks,Banks,
Abbott Laboratories,ABT,"New York Stock Exchange, Inc.",Health Care,Health Care,Medical Equipment and Services,Medical Equipment,
"AbbVie, Inc.",ABBV,"New York Stock Exchange, Inc.",Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
"Acadia Healthcare Company, Inc.",ACHC,Nasdaq,Health Care,Health Care,Health Care Providers,Health Care Facilities,
Amgen Inc.,AMGN,Nasdaq,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
AstraZeneca Plc,AZN,London Stock Exchange,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Aurobindo Pharma Ltd,524804,BSE LTD,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Aurora Cannabis Inc.,ACB,Toronto Stock Exchange,Health Care,Health Care,Pharmaceuticals and Biotechnology,Cannabis Producers,
Baxter International Inc.,BAX,"New York Stock Exchange, Inc.",Health Care,Health Care,Medical Equipment and Services,Medical Equipment,
Bristol-Myers Squibb Company,BMY,"New York Stock Exchange, Inc.",Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
"Cardiovascular Systems, Inc.",CSII,Nasdaq,Health Care,Health Care,Medical Equipment and Services,Medical Equipment,
"Catalyst Pharmaceuticals, Inc.",CPRX,Nasdaq,Health Care,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,
Centene Corporation,CNC,"New York Stock Exchange, Inc.",Health Care,Health Care,Health Care Providers,Health Care Management Services,
Cipla Ltd,500087,BSE LTD,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Dr. Reddy's Laboratories Ltd.,500124,BSE LTD,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Endo International Plc,ENDP,Nasdaq,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Genmab A/S,GMAB,Nasdaq,Health Care,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,
"Gilead Sciences, Inc.",GILD,Nasdaq,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
GlaxoSmithKline plc,GSK,"New York Stock Exchange, Inc.",Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Globus Medical Inc Class A,GMED,"New York Stock Exchange, Inc.",Health Care,Health Care,Medical Equipment and Services,Medical Equipment,
Granules India Limited,532482,BSE LTD,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
"Harvard Bioscience, Inc.",HBIO,Nasdaq,Health Care,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,
Hypera S.A.,HYPE3,"The B3 S.A. - Brasil, Bolsa, Balcão",Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
"Illumina, Inc.",ILMN,Nasdaq,Health Care,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,
IQVIA,IQV,"New York Stock Exchange, Inc.",Health Care,Health Care,Health Care Providers,Health Care Services,
"Jiangsu Hengrui Pharmaceuticals Co., Ltd. Class A",600276,Shanghai Stock Exchange,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Johnson & Johnson,JNJ,"New York Stock Exchange, Inc.",Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Mediclinic International Plc,MDC,London Stock Exchange,Health Care,Health Care,Health Care Providers,Health Care Facilities,
"Merck & Co., Inc.",MRK,"New York Stock Exchange, Inc.",Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
"Myriad Genetics, Inc.",MYGN,Nasdaq,Health Care,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,
Notre Dame Intermedica Participacoes SA,GNDI3,"The B3 S.A. - Brasil, Bolsa, Balcão",Health Care,Health Care,Health Care Providers,Health Care Facilities,
Novartis AG,NVS,"New York Stock Exchange, Inc.",Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Pfizer Inc.,PFE,"New York Stock Exchange, Inc.",Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Piramal Enterprises Ltd.,500302,BSE LTD,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Prestige Consumer Healthcare Inc.,PBH,"New York Stock Exchange, Inc.",Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
"Regeneron Pharmaceuticals, Inc.",REGN,Nasdaq,Health Care,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,
"Shenzhen Mindray Bio-Medical Electronics Co., Ltd. Class A",300760,Shenzhen Stock Exchange,Health Care,Health Care,Medical Equipment and Services,Medical Equipment,
Smith & Nephew Plc,SN.,London Stock Exchange,Health Care,Health Care,Medical Equipment and Services,Medical Equipment,
Sun Pharmaceutical Industries Limited,524715,BSE LTD,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
Teva Pharmaceutical Industries Ltd.,TEVA,"New York Stock Exchange, Inc.",Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
"Tivity Health, Inc.",TVTY,Nasdaq,Health Care,Health Care,Health Care Providers,Health Care Services,
UnitedHealth Group Inc.,UNH,"New York Stock Exchange, Inc.",Health Care,Health Care,Health Care Providers,Health Care Management Services,
Veeva Systems Inc,VEEV,"New York Stock Exchange, Inc.",Health Care,Health Care,Health Care Providers,Health Care Services,
"Vyant Bio, Inc.",VYNT,Nasdaq,Health Care,Health Care,Medical Equipment and Services,Medical Services,
"Zogenix, Inc.",ZGNX,Nasdaq,Health Care,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,
American Express Company,AXP,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Support Services,Transaction Processing Services,
"AMN Healthcare Services, Inc.",AMN,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Support Services,Professional Business Support Services,
Anhui Conch Cement Company Limited Class A,600585,Hong Kong Exchanges And Clearing Ltd,Industrials,Construction and Materials,Construction and Materials,Cement,
Anhui Conch Cement Company Limited Class H,00914,Shanghai Stock Exchange,Industrials,Construction and Materials,Construction and Materials,Cement,
ArcBest Corporation,ARCB,Nasdaq,Industrials,Industrial Goods and Services,Industrial Transportation,Trucking,
ASGN Inc,ASGN,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Support Services,Business Training and Employment Agencies,
Asian Paints Ltd.,500820,BSE LTD,Industrials,Industrial Goods and Services,General Industrials,Paints and Coatings,
"Beacon Roofing Supply, Inc.",BECN,Nasdaq,Industrials,Construction and Materials,Construction and Materials,"Building, Roofing/Wallboard and Plumbing",
Berger Paints India Limited,509480,BSE LTD,Industrials,Industrial Goods and Services,General Industrials,Paints and Coatings,
Bharat Heavy Electricals Limited,500103,BSE LTD,Industrials,Industrial Goods and Services,Electronic and Electrical Equipment,Electrical Components,
Bill.com Holdings Inc,BILL,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Support Services,Transaction Processing Services,
Boeing Company,BA,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Aerospace and Defense,Aerospace,
Bombardier Inc. Class B,BBD.B,Toronto Stock Exchange,Industrials,Industrial Goods and Services,Industrial Transportation,Railroad Equipment,
Bunzl plc,BNZL,London Stock Exchange,Industrials,Industrial Goods and Services,General Industrials,Diversified Industrials,
Carclo plc,CAR,London Stock Exchange,Industrials,Industrial Goods and Services,General Industrials,Plastics,
Cargojet Inc.,CJT,Toronto Stock Exchange,Industrials,Industrial Goods and Services,Industrial Transportation,Delivery Services,
Catepillar,CAT,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Engineering,Machinery: Construction and Handling,
CCR S.A.,CCRO3,"The B3 S.A. - Brasil, Bolsa, Balcão",Industrials,Industrial Goods and Services,Industrial Transportation,Transportation Services,
China State Construction International Holdings Limited,03311,Hong Kong Exchanges And Clearing Ltd,Industrials,Construction and Materials,Construction and Materials,Construction,
China Yuchai International Limited,CYD,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Engineering,Machinery: Engines,
Cielo,CIEL3,"The B3 S.A. - Brasil, Bolsa, Balcão",Industrials,Industrial Goods and Services,Industrial Support Services,Transaction Processing Services,
CITIC Limited,00267,Hong Kong Exchanges And Clearing Ltd,Industrials,Industrial Goods and Services,General Industrials,Diversified Industrials,
Deere & Company,DE,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Engineering,Machinery: Agricultural,
"Douglas Dynamics, Inc.",PLOW,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Engineering,Machinery: Construction and Handling,
Embraer S.A.,EMBR3,"The B3 S.A. - Brasil, Bolsa, Balcão",Industrials,Industrial Goods and Services,Aerospace and Defense,Aerospace,
Experian PLC,EXPN,London Stock Exchange,Industrials,Industrial Goods and Services,Industrial Support Services,Professional Business Support Services,
Fair Isaac Corporation,FICO,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Support Services,Professional Business Support Services,
Ferguson Plc,FERG,London Stock Exchange,Industrials,Industrial Goods and Services,Industrial Support Services,Industrial Suppliers,
"FTI Consulting, Inc.",FCN,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Support Services,Professional Business Support Services,
General Electric Company,GE,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,General Industrials,Diversified Industrials,
"Gibraltar Industries, Inc.",ROCK,Nasdaq,Industrials,Construction and Materials,Construction and Materials,Building Materials: Other,
Grupo Aeroportuario del Pacifico SAB de CV Class B,GAPB,BMV,Industrials,Industrial Goods and Services,Industrial Transportation,Transportation Services,
"Heartland Express, Inc.",HTLD,Nasdaq,Industrials,Industrial Goods and Services,Industrial Transportation,Trucking,
Kansas City Southern,KSU,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Transportation,Railroads,
Larsen & Toubro Ltd.,500510,BSE LTD,Industrials,Construction and Materials,Construction and Materials,Engineering and Contracting Services,
Lockheed Martin Corporation,LMT,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Aerospace and Defense,Defense,
Mastercard Incorporated Class A,MA,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Support Services,Transaction Processing Services,
Mondi plc,MNDI,London Stock Exchange,Industrials,Industrial Goods and Services,General Industrials,Containers and Packaging,
NIIT Limited,500304,BSE LTD,Industrials,Industrial Goods and Services,Industrial Support Services,Business Training and Employment Agencies,
PACCAR Inc,PCAR,Nasdaq,Industrials,Industrial Goods and Services,Industrial Transportation,Commercial Vehicles and Parts,
PayPal Holdings Inc,PYPL,Nasdaq,Industrials,Industrial Goods and Services,Industrial Support Services,Transaction Processing Services,
Raytheon Technologies Corp,RTX,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Aerospace and Defense,Aerospace,
Rolls-Royce Holdings plc,RR.,London Stock Exchange,Industrials,Industrial Goods and Services,Aerospace and Defense,Aerospace,
Rumo SA,RAIL3,"The B3 S.A. - Brasil, Bolsa, Balcão",Industrials,Industrial Goods and Services,Industrial Transportation,Transportation Services,
"Shanghai International Airport Co., Ltd. Class A",600009,Shanghai Stock Exchange,Industrials,Industrial Goods and Services,Industrial Transportation,Transportation Services,
Smiths Group Plc,SMIN,London Stock Exchange,Industrials,Industrial Goods and Services,General Industrials,Diversified Industrials,
Snap-on Incorporated,SNA,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Engineering,Machinery: Tools,
The Middleby Corporation,MIDD,Nasdaq,Industrials,Industrial Goods and Services,Industrial Engineering,Machinery: Industrial,
"Titan International, Inc.",TWI,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Engineering,Machinery: Agricultural,
Trex Company Inc,TREX,"New York Stock Exchange, Inc.",Industrials,Construction and Materials,Construction and Materials,Building Materials: Other,
UltraTech Cement Limited,532538,BSE LTD,Industrials,Construction and Materials,Construction and Materials,Cement,
Verisk Analytics Inc,VRSK,Nasdaq,Industrials,Industrial Goods and Services,Industrial Support Services,Professional Business Support Services,
Visa Inc. Class A,V,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Support Services,Transaction Processing Services,
Wabash National Corporation,WNC,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Transportation,Commercial Vehicles and Parts,
WEG S.A.,WEGE3,"The B3 S.A. - Brasil, Bolsa, Balcão",Industrials,Industrial Goods and Services,Industrial Engineering,Machinery: Industrial,
"ZTO Express (Cayman), Inc.",ZTO,"New York Stock Exchange, Inc.",Industrials,Industrial Goods and Services,Industrial Transportation,Delivery Services,
BR Malls Participacoes S.A.,BRML3,"The B3 S.A. - Brasil, Bolsa, Balcão",Real Estate,Real Estate,Real Estate Investment and Services,Real Estate Holding and Development,
"China Vanke Co., Ltd Class A",000002,Shenzhen Stock Exchange,Real Estate,Real Estate,Real Estate Investment and Services,Real Estate Holding and Development,
"China Vanke Co., Ltd Class H",02202,Hong Kong Exchanges And Clearing Ltd,Real Estate,Real Estate,Real Estate Investment and Services,Real Estate Holding and Development,
China World Trade Center Company Ltd. Class A,600007,Shanghai Stock Exchange,Real Estate,Real Estate,Real Estate Investment and Services,Real Estate Services,
"Digital Realty Trust, Inc.",DLR,"New York Stock Exchange, Inc.",Real Estate,Real Estate,Real Estate Investment Trusts,Other Specialty REITs,
Extra Space Storage Inc.,EXR,"New York Stock Exchange, Inc.",Real Estate,Real Estate,Real Estate Investment Trusts,Other Specialty REITs,
"Iron Mountain, Inc.",IRM,"New York Stock Exchange, Inc.",Real Estate,Real Estate,Real Estate Investment Trusts,Other Specialty REITs,
Multiplan Empreendimentos Imobiliarios SA,MULT3,"The B3 S.A. - Brasil, Bolsa, Balcão",Real Estate,Real Estate,Real Estate Investment and Services,Real Estate Holding and Development,
Physicians Realty Trust,DOC,"New York Stock Exchange, Inc.",Real Estate,Real Estate,Real Estate Investment Trusts,Health Care REITs,
Public Storage,PSA,"New York Stock Exchange, Inc.",Real Estate,Real Estate,Real Estate Investment Trusts,Storage REITs,
Rightmove Plc,RMV,London Stock Exchange,Real Estate,Real Estate,Real Estate Investment and Services,Real Estate Services,
The GEO Group Inc,GEO,"New York Stock Exchange, Inc.",Real Estate,Real Estate,Real Estate Investment Trusts,Other Specialty REITs,
Adobe Inc.,ADBE,Nasdaq,Technology,Technology,Software and Computer Services,Software,
Alphabet Inc. Class C,GOOG,Nasdaq,Technology,Technology,Software and Computer Services,Consumer Digital Services,
Apple Inc.,AAPL,Nasdaq,Technology,Technology,Technology Hardware and Equipment,Computer Hardware,
Baidu Inc.,BIDU,Nasdaq,Technology,Technology,Software and Computer Services,Consumer Digital Services,
"Benefitfocus, Inc.",BNFT,Nasdaq,Technology,Technology,Software and Computer Services,Software,
Cognizant Technology Solutions Corporation Class A,CTSH,Nasdaq,Technology,Technology,Software and Computer Services,Computer Services,
Constellation Software Inc.,CSU,Toronto Stock Exchange,Technology,Technology,Software and Computer Services,Software,
discoverIE Group Plc,DSCV,London Stock Exchange,Technology,Technology,Technology Hardware and Equipment,Computer Hardware,
DXC Technology Co.,DXC,"New York Stock Exchange, Inc.",Technology,Technology,Software and Computer Services,Computer Services,
eClerx Services Limited,532927,BSE LTD,Technology,Technology,Software and Computer Services,Software,
Enghouse Systems Limited,ENGH,Toronto Stock Exchange,Technology,Technology,Software and Computer Services,Software,
"Facebook, Inc. Class A",FB,Nasdaq,Technology,Technology,Software and Computer Services,Consumer Digital Services,
"Fortinet, Inc",FTNT,Nasdaq,Technology,Technology,Software and Computer Services,Software,
